year,canton,mppa_a,mppa_b,mppa_c,mppa_d,mppa_e,hm_a,hm_b,hm_c,hm_d,hm_e,tot_a,tot_b,tot_c,tot_d,tot_e
2020,BL,,,,,,,2171.2866011,1040.3435912,3211.6301923,16.162857143,,2171.2866011,1040.3435912,3211.6301923,16.162857143
2020,SH,,,,,,,789.716373249999,420.02484297,1209.7412162,4.1880952381,,789.716373249999,420.02484297,1209.7412162,4.1880952381
2020,AR,,,,,,,561.546096459999,344.63019339,906.17628985,1.1980952381,,561.546096459999,344.63019339,906.17628985,1.1980952381
2020,AI,,,,,,,127.07296097,53.493226213,180.56618718,.2952380952,,127.07296097,53.493226213,180.56618718,.2952380952
2020,SG,,18.875005387,6.9791693601,25.854174747,.0928571429,,3688.8506033,1938.8296232,5627.6802265,21.471428571,,3707.7256087,1945.8087926,5653.5344013,21.564285714
2020,GR,,,,,,.8675518926,1708.0237191,804.73033807,2513.6216091,8.5423809524,.8675518926,1708.0237191,804.73033807,2513.6216091,8.5423809524
2020,AG,,,,,,5.8723278315,4570.4363804,2191.8667518,6768.17546,34.635714286,5.8723278315,4570.4363804,2191.8667518,6768.17546,34.635714286
2020,TG,,,,,,,1984.4291467,947.13116943,2931.5603161,13.401904762,,1984.4291467,947.13116943,2931.5603161,13.401904762
2020,TI,,,,,,23.22257326,3847.8873626,1527.0684982,5398.1784341,9.331904761900001,23.22257326,3847.8873626,1527.0684982,5398.1784341,9.331904761900001
2020,VD,,32.264048111,37.918733962,70.182782073,.0428571429,16.443890582,5595.3657729,2569.5842517,8181.3939152,10.065714286,16.443890582,5627.629821,2607.5029857,8251.576697300001,10.108571429
2020,VS,,,,,,.199047619,2457.3234506,1005.262894,3462.7853923,8.36571428569999,.199047619,2457.3234506,1005.262894,3462.7853923,8.36571428569999
2020,NE,,,,,,2.9654349891,1571.4311338,743.7367854,2318.1333542,.580952381,2.9654349891,1571.4311338,743.7367854,2318.1333542,.580952381
2020,GE,,1.9904214559,9.1053639847,11.095785441,,5.8904370028,2926.7370205,1366.5189281,4299.1463856,23.444761905,5.8904370028,2928.727442,1375.6242921,4310.2421711,23.444761905
2020,JU,,,,,,.0378649635,610.94268316,213.46978598,824.4503341,10.138095238,.0378649635,610.94268316,213.46978598,824.4503341,10.138095238
2020,CH,,58.566506628,64.836860067,123.4033667,.6171428571000001,120.38990466,67620.109658,32682.120863,100422.62043,319.75619048,120.38990466,67678.676165,32746.957723,100546.02379,320.37333333
2021,ZH,,1.8062558357,1.2544351074,3.060690943,.2166666667,61.255220464,12267.06495,6260.0385553,18588.358726,46.182857143,61.255220464,12268.871206,6261.2929905,18591.419417,46.39952381
2021,BE,,,,,,8.7491789163,9328.2252353,4850.4764194,14187.450834,51.966190476,8.7491789163,9328.2252353,4850.4764194,14187.450834,51.966190476
2021,LU,,3.8305882353,9.832000000000001,13.662588235,.35,1.9285714286,3458.517108,1797.4792215,5257.9249009,17.646190476,1.9285714286,3462.3476962,1807.3112215,5271.5874891,17.996190476
2021,UR,,,,,,,344.63548761,169.68675865,514.32224626,.6428571429,,344.63548761,169.68675865,514.32224626,.6428571429
2021,SZ,,,,,,,1272.8477149,692.90003326,1965.7477482,3.69,,1272.8477149,692.90003326,1965.7477482,3.69
2021,OW,,,,,,,290.82440698,216.78154122,507.6059482,.9961904762,,290.82440698,216.78154122,507.6059482,.9961904762
2021,NW,,,,,,,310.19338058,169.29661976,479.49000033,3.5533333333,,310.19338058,169.29661976,479.49000033,3.5533333333
2021,GL,,,,,,,272.49038462,213.8525641,486.34294872,.2380952381,,272.49038462,213.8525641,486.34294872,.2380952381
2021,ZG,,,,,,.0457875458,725.89496151,427.55722436,1153.4979734,3.7328571429,.0457875458,725.89496151,427.55722436,1153.4979734,3.7328571429
2021,FR,,,,,,3.1058482359,2358.1275981,898.35322698,3259.5866733,4.1604761905,3.1058482359,2358.1275981,898.35322698,3259.5866733,4.1604761905
2021,SO,,,,,,,1984.2355524,1031.6759214,3015.9114738,10.411904762,,1984.2355524,1031.6759214,3015.9114738,10.411904762
2021,BS,,,,,,,2183.4574417,884.85806402,3068.3155057,2.1980952381,,2183.4574417,884.85806402,3068.3155057,2.1980952381
2021,BL,,,,,,,2250.3624344,1058.5464778,3308.9089123,11.52952381,,2250.3624344,1058.5464778,3308.9089123,11.52952381
2021,SH,,,,,,,823.39024582,435.03623376,1258.4264796,2.32,,823.39024582,435.03623376,1258.4264796,2.32
2021,AR,,,,,,,567.50146528,354.0130673,921.51453258,1.6733333333,,567.50146528,354.0130673,921.51453258,1.6733333333
2021,AI,,,,,,,102.4581589,61.400832639,163.85899154,.3476190476,,102.4581589,61.400832639,163.85899154,.3476190476
2021,SG,,15.791402715,7.6291208791,23.420523594,.0476190476,.1996336996,3660.3142749,1960.4476177,5620.9615264,21.478095238,.1996336996,3676.1056776,1968.0767386,5644.38205,21.525714286
2021,GR,,,,,,1.3852380952,1687.2981817,793.1524411300001,2481.835861,10.205714286,1.3852380952,1687.2981817,793.1524411300001,2481.835861,10.205714286
2021,AG,,,,,,7.4042307692,4478.2971893,2185.2448552,6670.9462753,29.229047619,7.4042307692,4478.2971893,2185.2448552,6670.9462753,29.229047619
2021,TG,,,,,,,1997.8293783,953.16057791,2950.9899563,17.643809524,,1997.8293783,953.16057791,2950.9899563,17.643809524
2021,TI,,,,,,19.584180403,3902.555815,1579.4194368,5501.5594322,11.23952381,19.584180403,3902.555815,1579.4194368,5501.5594322,11.23952381
2021,VD,,36.92243938,40.566494073,77.488933453,,14.243311163,5579.9414356,2641.4164846,8235.60123129999,10.733333333,14.243311163,5616.863875,2681.9829787,8313.0901648,10.733333333
2021,VS,,,,,,.1998087954,2486.9801379,1042.0591938,3529.2391405,8.5933333333,.1998087954,2486.9801379,1042.0591938,3529.2391405,8.5933333333
2021,NE,,,,,,2.8415092022,1559.1728439,744.47070281,2306.4850559,.579047619,2.8415092022,1559.1728439,744.47070281,2306.4850559,.579047619
2021,GE,,4.9995192308,8.213461538500001,13.212980769,,6.1155404514,2913.9962629,1360.1169067,4280.22871,22.4,6.1155404514,2918.9957821,1368.3303682,4293.4416908,22.4
2021,JU,,,,,,.0375457875,611.73161505,198.02286421,809.79202504,10.167619048,.0375457875,611.73161505,198.02286421,809.79202504,10.167619048
2021,CH,,63.350205397,67.49551159799989,130.84571699,.6142857143,127.09560496,67418.34366100001,32979.463842,100524.90311,303.55904762,127.09560496,67481.693866,33046.959354,100655.74883,304.17333333
2022,ZH,,1.9383974062,1.3862899491,3.3246873553,.1376190476,70.76004363600001,12364.881722,6521.5577481,18957.199513,53.885714286,70.76004363600001,12366.820119,6522.944038,18960.524201,54.023333333
2022,BE,,,,,,7.0973237738,8903.1430757,4718.2088922,13628.449292,48.543809524,7.0973237738,8903.1430757,4718.2088922,13628.449292,48.543809524
2022,LU,,4.0604761905,10.637142857,14.697619048,.2747619048,1.8452380952,3517.7159668,1826.0904564,5345.6516613,21.24,1.8452380952,3521.776443,1836.7275993,5360.3492804,21.514761905
2022,UR,,,,,,,353.22273224,168.36514037,521.58787261,.6571428571,,353.22273224,168.36514037,521.58787261,.6571428571
2022,SZ,,,,,,,1254.8111023,690.20277169,1945.013874,4.0547619048,,1254.8111023,690.20277169,1945.013874,4.0547619048
2022,OW,,,,,,,298.69399664,216.99079117,515.6847878,2.0285714286,,298.69399664,216.99079117,515.6847878,2.0285714286
2022,NW,,,,,,,314.83537815,176.65625404,491.49163219,3.5828571429,,314.83537815,176.65625404,491.49163219,3.5828571429
2022,GL,,,,,,,272.80494505,217.51327839,490.31822344,.370952381,,272.80494505,217.51327839,490.31822344,.370952381
